,site_name,product_name,R2,RMSE,MASE,Obs
0,C2005,All,1.0,5.220631279759414e-13,5.540288321546623e-15,143
0,C2006,All,1.0,7.146613276611325e-13,9.610486337215022e-15,245
0,C2007,All,1.0,4.8735916525776285e-14,1.833589834578989e-15,174
0,C2008,All,1.0,7.600803825992775e-14,4.1462006951872204e-15,237
0,C2009,All,1.0,3.008401532865873e-13,2.6488252432667953e-14,283
0,C2010,All,1.0,2.0125306503589882e-13,8.53581706045897e-15,162
0,C2011,All,1.0,1.0960473159525237e-13,1.7091250976613563e-15,298
0,C2015,All,1.0,1.618752987268214e-14,2.277851691647473e-15,168
0,C2016,All,1.0,7.782878003598373e-14,1.8794481977206986e-15,95
0,C2017,All,1.0,8.53554110849558e-13,1.4722312869939685e-13,154
0,C2041,All,1.0,4.630624902267919e-14,2.258927092395852e-15,142
0,C2047,All,1.0,7.289805815586169e-14,5.363407564582989e-15,180
0,C2049,All,1.0,1.3176201697889121e-13,9.87234282466049e-15,267
0,C2050,All,1.0,2.857855641075928e-14,3.0076091470477947e-15,176
0,C2051,All,1.0,3.532266606395011e-14,2.9057088317208987e-15,255
0,C2052,All,1.0,5.0459213059003915e-14,5.254311048131877e-15,123
0,C2053,All,1.0,6.181393257134911e-13,2.987270685958699e-14,204
0,C2055,All,1.0,5.998846666995006e-14,5.314743427640782e-15,260
0,C2056,All,1.0,2.497621805020405e-13,6.5007120510418426e-15,289
0,C2057,All,1.0,3.318875630197989e-13,1.6054713241097942e-14,184
0,C2059,All,1.0,6.560464093764717e-14,4.91659175086765e-15,192
0,C2060,All,1.0,1.6989344053231234e-13,4.465044004803044e-15,267
0,C2061,All,1.0,2.2909634176356832e-14,1.6852490696144258e-15,110
0,C2062,All,1.0,2.1574542203495817e-14,1.6276871855708274e-15,262
0,C2063,All,1.0,1.085957439217865e-13,3.2357694626410975e-15,177
0,C2064,All,1.0,2.9325660582391567e-13,2.4835364499883355e-15,255
0,C2065,All,1.0,8.750492217354329e-14,3.803207135857752e-15,262
0,C2066,All,1.0,2.136915957997752e-13,6.323758954672542e-15,253
0,C2068,All,1.0,3.202122710086565e-14,3.438340489026187e-15,240
0,C2069,All,1.0,1.9217658848313904e-13,3.280131925431138e-15,213
0,C2070,All,1.0,1.2708981006965408e-13,4.230044418601831e-15,288
0,C2071,All,1.0,1.997632657526781e-13,6.581375733708149e-15,245
0,C2127,All,1.0,7.055889324815736e-14,2.0132427266271864e-15,214
0,C2131,All,1.0,9.869928338784446e-15,8.794094739212284e-16,256
0,C2168,All,1.0,2.2138313104142913e-14,3.1647724407802303e-15,194
0,C2194,All,0.9866468842729981,0.3333333333333206,0.015232974910397068,35
0,C2214,All,1.0,9.845394129055037e-13,9.350575187526734e-14,37
0,C3001,All,1.0,3.1046468691527564e-14,2.3304221724072545e-15,110
0,C3010,All,1.0,4.130505232097559e-14,2.097442688871143e-15,231
0,C3011,All,1.0,4.773467450657264e-14,2.3828287856887855e-15,184
0,C3012,All,1.0,4.4486366954761344e-14,2.101938351481853e-15,176
0,C3013,All,1.0,2.66861328711319e-14,1.2274286173496064e-15,256
0,C3014,All,1.0,1.5632920862183488e-14,1.553860467272771e-15,128
0,C3015,All,1.0,4.536460986858092e-13,3.279273280486998e-14,177
0,C3016,All,0.0,3.166057060851271e-14,5.038771399937226e-15,75
0,C3017,All,1.0,1.8771144678865494e-13,3.470848593674336e-15,253
0,C3018,All,1.0,1.894817796117927e-14,1.6014628605866635e-15,163
0,C3019,All,1.0,9.907316165639625e-14,2.6836254999227226e-15,154
0,C3020,All,1.0,9.986022589807998e-14,2.5993146344402795e-15,256
0,C3021,All,1.0,0.0,,60
0,C3022,All,1.0,3.9394591046626334e-14,5.366682437834715e-15,218
0,C3023,All,1.0,1.9914812732021854e-13,5.349590721146845e-15,224
0,C3043,All,1.0,0.0,,37
0,C4001,All,1.0,4.231480380852934e-13,3.408080240285701e-14,190
0,C4002,All,1.0,7.428404423265443e-14,1.0802258702251048e-14,232
0,C4003,All,1.0,2.0678540222840137e-14,2.6555845712570503e-15,91
0,C4014,All,1.0,4.002663441727667e-14,8.512460925315884e-16,96
0,C4015,All,1.0,9.990002833197497e-13,3.5283921131076027e-14,168
0,C4016,All,1.0,8.601811650547029e-13,4.781474153680194e-14,176
0,C4017,All,1.0,8.525830313049937e-15,1.4416279963938443e-15,226
0,C4018,All,1.0,1.239140417249957e-12,7.293616609193435e-14,200
0,C4019,All,1.0,1.606855774433893e-12,8.287845055352777e-14,210
0,C4020,All,1.0,1.500223410742871e-14,5.419149416706042e-15,124
0,C4021,All,0.9578208326888549,2.2857142857142785,0.07336485234374128,194
0,C4022,All,1.0,2.9822162300805704e-13,3.399758899771247e-14,228
0,C4023,All,1.0,2.7369269055333238e-14,7.152171049559082e-16,64
0,C4024,All,1.0,2.3193317274436744e-14,2.777831465969098e-15,102
0,C4025,All,1.0,2.937989681360965e-14,2.123877283298787e-15,212
0,C4026,All,1.0,5.898096189455976e-14,1.4792127501179524e-15,236
0,C4037,All,1.0,3.8275533776532466e-13,3.887352688590714e-15,232
0,C4038,All,1.0,2.165870597679888e-13,1.7486742594997025e-14,161
0,C4054,All,1.0,9.714014763685751e-14,1.771327531150272e-14,128
0,C4056,All,1.0,5.89163708569547e-14,3.130352059617346e-15,111
0,C4061,All,1.0,2.733425097054297e-14,1.9396740810128093e-15,194
0,C5001,All,-35.94680022727754,98.14954576223641,0.7821637426900611,108
