,label,RMSE,MAE,MAPE,MASE
1,C1399 AS27134_Holt-Winters 3,8.83,5.65,inf,0.21
2,C1399 AS27134_FB Prophet,40.3,34.63,inf,1.31
0,C1399 AS27137_SARIMA,2.11,1.32,inf,0.77
1,C1399 AS27137_Holt-Winters 3,3.72,1.67,inf,0.97
2,C1399 AS27137_FB Prophet,5.13,4.61,inf,2.68
0,C1399 AS27138_SARIMA,2.06,1.49,inf,0.58
1,C1399 AS27138_Holt-Winters 3,0.01,0.01,inf,0.01
2,C1399 AS27138_FB Prophet,2.9,1.73,inf,0.68
0,C1411 AS27000_SARIMA,48.88,38.32,inf,0.66
1,C1411 AS27000_Holt-Winters 3,44.29,31.93,inf,0.55
2,C1411 AS27000_FB Prophet,70.41,58.83,inf,1.01
0,C1411 AS27132_SARIMA,10.15,7.33,inf,0.64
1,C1411 AS27132_Holt-Winters 3,12.75,7.49,inf,0.65
2,C1411 AS27132_FB Prophet,8.88,6.5,inf,0.56
0,C1411 AS27133_SARIMA,31.25,26.07,144.95,1.2
0,C1411 AS27134_SARIMA,1.99,1.76,inf,0.53
1,C1411 AS27134_Holt-Winters 3,0.07,0.07,inf,0.02
2,C1411 AS27134_FB Prophet,6.57,6.12,inf,1.83
0,C1411 AS27137_SARIMA,4.97,4.03,inf,1.08
1,C1411 AS27137_Holt-Winters 3,6.99,5.21,inf,1.39
2,C1411 AS27137_FB Prophet,12.25,9.82,inf,2.62
0,C1411 AS27138_SARIMA,13.12,10.97,inf,3.03
1,C1411 AS27138_Holt-Winters 3,15.48,9.94,inf,2.74
2,C1411 AS27138_FB Prophet,15.7,9.51,inf,2.62
0,C1411 AS27139_SARIMA,0.03,0.02,inf,0.06
1,C1411 AS27139_Holt-Winters 3,0.0,0.0,inf,0.01
2,C1411 AS27139_FB Prophet,2.65,2.01,inf,4.94
0,C1411 AS42018_SARIMA,1.67,0.59,inf,inf
0,C1413 AS27000_SARIMA,24.7,20.44,inf,0.85
1,C1413 AS27000_Holt-Winters 3,13.91,12.42,inf,0.52
2,C1413 AS27000_FB Prophet,36.14,32.11,inf,1.33
0,C1413 AS27132_SARIMA,7.49,5.54,inf,1.04
1,C1413 AS27132_Holt-Winters 3,6.26,2.65,inf,0.5
2,C1413 AS27132_FB Prophet,12.98,10.79,inf,2.03
1,C1413 AS27133_Holt-Winters 3,4.79,3.73,18.82,0.26
0,C1413 AS27134_SARIMA,6.33,5.39,inf,0.74
1,C1413 AS27134_Holt-Winters 3,6.98,4.16,inf,0.57
2,C1413 AS27134_FB Prophet,16.66,11.85,inf,1.63
0,C1413 AS27137_SARIMA,1.07,0.91,inf,0.29
1,C1413 AS27137_Holt-Winters 3,0.11,0.1,inf,0.03
2,C1413 AS27137_FB Prophet,6.11,4.06,inf,1.31
0,C1413 AS27138_SARIMA,3.28,2.27,inf,3.63
2,C1413 AS27138_FB Prophet,4.01,3.2,inf,5.12
0,C1679 AS27000_SARIMA,2.28,1.93,inf,0.82
1,C1679 AS27000_Holt-Winters 3,3.88,3.08,inf,1.31
2,C1679 AS27000_FB Prophet,2.69,2.1,inf,0.89
0,C1679 AS27133_SARIMA,4.67,3.68,54.81,0.68
0,C1679 AS27134_SARIMA,25.16,11.07,inf,1.14
1,C1679 AS27134_Holt-Winters 3,23.35,8.5,inf,0.88
2,C1679 AS27134_FB Prophet,33.76,24.1,inf,2.49
0,C1679 AS46000_SARIMA,13.42,9.86,26.39,3.15
0,C1681 AS27000_SARIMA,17.52,12.13,inf,1.22
1,C1681 AS27000_Holt-Winters 3,17.68,14.93,inf,1.5
2,C1681 AS27000_FB Prophet,17.2,15.09,inf,1.52
0,C1681 AS27132_SARIMA,7.84,6.19,inf,1.65
1,C1681 AS27132_Holt-Winters 3,8.18,5.65,inf,1.51
2,C1681 AS27132_FB Prophet,9.54,7.77,inf,2.07
0,C1681 AS27133_SARIMA,98.64,64.45,inf,3.35
1,C1681 AS27133_Holt-Winters 3,101.18,65.65,inf,3.41
2,C1681 AS27133_FB Prophet,102.18,60.54,inf,3.15
0,C1681 AS27134_SARIMA,39.9,29.81,inf,1.19
1,C1681 AS27134_Holt-Winters 3,33.24,11.3,inf,0.45
2,C1681 AS27134_FB Prophet,52.92,34.34,inf,1.37
0,C1681 AS27137_SARIMA,4.96,4.17,inf,1.06
1,C1681 AS27137_Holt-Winters 3,0.62,0.56,inf,0.14
2,C1681 AS27137_FB Prophet,11.04,8.36,inf,2.12
0,C1681 AS27138_SARIMA,35.88,27.87,inf,13.51
1,C1681 AS27138_Holt-Winters 3,42.29,26.97,inf,13.07
2,C1681 AS27138_FB Prophet,42.32,29.3,inf,14.2
1,C1681 AS17005_Holt-Winters 3,0.21,0.21,inf,0.32
2,C1681 AS17005_FB Prophet,1.19,0.97,inf,1.48
2,C1681 AS46000_FB Prophet,0.1,0.08,inf,1.34
0,C1745 AS27133_SARIMA,6.08,3.74,inf,inf
0,C1745 AS27134_SARIMA,0.67,0.22,inf,inf
0,C1745 AS27137_SARIMA,3.03,1.43,inf,inf
0,C1745 AS27138_SARIMA,4.04,2.06,inf,inf
1,C1745 AS27138_Holt-Winters 3,4.14,1.9,inf,inf
1,C1745 AS46000_Holt-Winters 3,47.96,16.09,inf,inf
1,C2002 AS27000_Holt-Winters 3,6.56,6.04,164.8,0.58
0,C2002 AS27132_SARIMA,3.73,2.96,inf,1.16
1,C2002 AS27132_Holt-Winters 3,1.33,0.96,inf,0.37
2,C2002 AS27132_FB Prophet,8.79,5.65,inf,2.21
0,C2002 AS27133_SARIMA,27.6,22.78,inf,1.85
1,C2002 AS27133_Holt-Winters 3,39.22,30.78,inf,2.5
2,C2002 AS27133_FB Prophet,40.28,32.53,inf,2.64
0,C2002 AS27134_SARIMA,12.99,10.23,inf,0.92
1,C2002 AS27134_Holt-Winters 3,0.05,0.04,inf,0.0
2,C2002 AS27134_FB Prophet,42.82,32.6,inf,2.93
0,C2002 AS27137_SARIMA,6.84,4.02,inf,1.34
1,C2002 AS27137_Holt-Winters 3,6.93,3.41,inf,1.14
2,C2002 AS27137_FB Prophet,14.77,12.07,inf,4.02
0,C2002 AS27138_SARIMA,9.73,7.7,inf,1.37
1,C2002 AS27138_Holt-Winters 3,14.53,10.84,inf,1.93
2,C2002 AS27138_FB Prophet,18.44,13.76,inf,2.45
0,C2002 AS42018_SARIMA,0.52,0.42,inf,inf
0,C2002 AS46000_SARIMA,28.83,11.79,inf,inf
1,C2002 AS46000_Holt-Winters 3,31.91,16.0,inf,inf
0,C2003 AS27000_SARIMA,14.11,9.85,inf,1.06
1,C2003 AS27000_Holt-Winters 3,27.46,23.87,inf,2.57
2,C2003 AS27000_FB Prophet,25.16,20.69,inf,2.23
0,C2003 AS27132_SARIMA,18.89,16.16,inf,0.81
1,C2003 AS27132_Holt-Winters 3,10.07,6.5,inf,0.32
2,C2003 AS27132_FB Prophet,31.4,26.08,inf,1.3
0,C2003 AS27133_SARIMA,13.86,9.49,inf,0.67
1,C2003 AS27133_Holt-Winters 3,13.76,13.04,inf,0.92
2,C2003 AS27133_FB Prophet,36.27,27.65,inf,1.94
0,C2003 AS27134_SARIMA,0.0,0.0,inf,0.0
1,C2003 AS27134_Holt-Winters 3,0.02,0.01,inf,0.0
2,C2003 AS27134_FB Prophet,22.34,17.0,inf,1.44
0,C2003 AS27137_SARIMA,21.59,16.54,inf,1.32
1,C2003 AS27137_Holt-Winters 3,18.29,8.84,inf,0.71
2,C2003 AS27137_FB Prophet,42.88,29.42,inf,2.35
0,C2003 AS27138_SARIMA,2.32,1.75,inf,2.8
1,C2003 AS27138_Holt-Winters 3,2.53,1.32,inf,2.11
2,C2003 AS27138_FB Prophet,3.44,2.53,inf,4.05
1,C2003 AS17005_Holt-Winters 3,0.0,0.0,inf,0.0
2,C2003 AS17005_FB Prophet,1.27,0.88,inf,4.67
1,C2003 AS46000_Holt-Winters 3,0.1,0.1,inf,0.01
2,C2003 AS46000_FB Prophet,0.49,0.32,inf,0.04
1,C2004 AS27000_Holt-Winters 3,17.07,12.12,21.88,1.11
0,C2004 AS27132_SARIMA,2.37,2.15,inf,1.09
1,C2004 AS27132_Holt-Winters 3,2.24,1.8,inf,0.91
2,C2004 AS27132_FB Prophet,3.98,3.09,inf,1.57
0,C2004 AS27133_SARIMA,29.15,22.88,23.56,1.51
0,C2004 AS27134_SARIMA,6.74,5.25,inf,1.02
1,C2004 AS27134_Holt-Winters 3,3.15,2.84,inf,0.55
2,C2004 AS27134_FB Prophet,26.9,25.55,inf,4.96
1,C2004 AS27137_Holt-Winters 3,4.25,2.75,50.25,1.33
0,C2004 AS27138_SARIMA,4.06,3.24,18.34,1.38
0,C2005 AS27000_SARIMA,96.3,72.03,116.08,0.94
0,C2005 AS27133_SARIMA,120.2,98.55,119.93,1.54
0,C2005 AS27134_SARIMA,52.7,42.94,inf,1.04
1,C2005 AS27134_Holt-Winters 3,18.13,12.29,inf,0.3
2,C2005 AS27134_FB Prophet,72.71,51.62,inf,1.25
0,C2005 AS27137_SARIMA,15.88,13.07,289.21,2.22
0,C2005 AS46000_SARIMA,97.07,55.34,inf,0.68
1,C2005 AS46000_Holt-Winters 3,0.06,0.06,inf,0.0
2,C2005 AS46000_FB Prophet,95.92,33.11,inf,0.41
1,C2006 AS27000_Holt-Winters 3,19.08,17.24,23.52,0.16
0,C2006 AS27132_SARIMA,6.0,5.29,inf,0.32
1,C2006 AS27132_Holt-Winters 3,5.84,4.87,inf,0.29
2,C2006 AS27132_FB Prophet,16.12,13.9,inf,0.83
2,C2006 AS27133_FB Prophet,72.9,54.38,60.53,1.0
0,C2006 AS27134_SARIMA,40.32,29.9,inf,0.98
1,C2006 AS27134_Holt-Winters 3,37.43,27.13,inf,0.89
2,C2006 AS27134_FB Prophet,56.84,49.22,inf,1.62
2,C2006 AS27137_FB Prophet,10.21,7.12,59.44,2.53
0,C2006 AS27138_SARIMA,6.64,4.88,inf,2.6
1,C2006 AS27138_Holt-Winters 3,105.47,53.87,inf,28.73
2,C2006 AS27138_FB Prophet,15.66,14.42,inf,7.69
0,C2006 AS27139_SARIMA,0.35,0.31,inf,0.13
1,C2006 AS27139_Holt-Winters 3,0.16,0.16,inf,0.07
2,C2006 AS27139_FB Prophet,9.45,6.48,inf,2.8
0,C2006 AS46000_SARIMA,40.68,30.26,298.39,0.88
0,C2007 AS27000_SARIMA,18.4,17.04,inf,0.72
1,C2007 AS27000_Holt-Winters 3,10.33,5.89,inf,0.25
2,C2007 AS27000_FB Prophet,67.95,46.28,inf,1.94
0,C2007 AS27132_SARIMA,35.64,26.49,inf,1.42
1,C2007 AS27132_Holt-Winters 3,30.7,12.91,inf,0.69
2,C2007 AS27132_FB Prophet,54.76,33.6,inf,1.8
0,C2007 AS27133_SARIMA,27.56,20.24,inf,0.72
1,C2007 AS27133_Holt-Winters 3,42.81,29.46,inf,1.04
2,C2007 AS27133_FB Prophet,45.38,34.38,inf,1.22
0,C2007 AS27134_SARIMA,8.67,6.98,inf,1.06
1,C2007 AS27134_Holt-Winters 3,6.39,5.89,inf,0.9
2,C2007 AS27134_FB Prophet,18.8,16.28,inf,2.48
0,C2007 AS27137_SARIMA,15.67,12.03,inf,1.18
1,C2007 AS27137_Holt-Winters 3,21.36,11.11,inf,1.09
2,C2007 AS27137_FB Prophet,22.53,18.0,inf,1.77
0,C2007 AS27138_SARIMA,6.82,2.88,inf,inf
0,C2008 AS27000_SARIMA,0.89,0.6,inf,1.93
1,C2008 AS27000_Holt-Winters 3,1.32,0.73,inf,2.34
2,C2008 AS27000_FB Prophet,1.91,1.3,inf,4.18
0,C2008 AS27132_SARIMA,1.35,0.79,inf,2.53
1,C2008 AS27132_Holt-Winters 3,1.41,0.77,inf,2.45
2,C2008 AS27132_FB Prophet,2.46,1.76,inf,5.64
0,C2008 AS27133_SARIMA,12.19,11.14,inf,2.38
1,C2008 AS27133_Holt-Winters 3,14.53,8.49,inf,1.81
2,C2008 AS27133_FB Prophet,14.51,11.48,inf,2.45
0,C2008 AS27137_SARIMA,11.4,9.36,inf,1.35
1,C2008 AS27137_Holt-Winters 3,7.58,4.88,inf,0.7
2,C2008 AS27137_FB Prophet,12.71,9.73,inf,1.4
0,C2008 AS27138_SARIMA,15.21,12.98,inf,1.6
1,C2008 AS27138_Holt-Winters 3,175.49,119.77,inf,14.74
2,C2008 AS27138_FB Prophet,15.37,13.86,inf,1.71
1,C2008 AS27139_Holt-Winters 3,0.0,0.0,inf,0.03
2,C2008 AS27139_FB Prophet,1.2,0.92,inf,7.32
0,C2008 AS46000_SARIMA,32.64,25.53,inf,0.99
1,C2008 AS46000_Holt-Winters 3,23.72,18.22,inf,0.7
2,C2008 AS46000_FB Prophet,42.61,34.14,inf,1.32
0,C2009 AS27000_SARIMA,12.59,8.73,inf,0.31
1,C2009 AS27000_Holt-Winters 3,7.83,6.75,inf,0.24
2,C2009 AS27000_FB Prophet,46.1,40.72,inf,1.44
0,C2009 AS27132_SARIMA,6.13,5.36,inf,0.47
1,C2009 AS27132_Holt-Winters 3,3.14,2.3,inf,0.2
2,C2009 AS27132_FB Prophet,12.3,10.51,inf,0.91
0,C2009 AS27133_SARIMA,21.66,18.43,inf,1.24
1,C2009 AS27133_Holt-Winters 3,22.7,19.29,inf,1.3
2,C2009 AS27133_FB Prophet,31.52,28.29,inf,1.91
0,C2009 AS27134_SARIMA,0.5,0.39,inf,0.33
1,C2009 AS27134_Holt-Winters 3,0.0,0.0,inf,0.0
2,C2009 AS27134_FB Prophet,3.34,2.75,inf,2.32
0,C2009 AS27137_SARIMA,1.04,0.81,inf,0.68
1,C2009 AS27137_Holt-Winters 3,0.02,0.02,inf,0.02
2,C2009 AS27137_FB Prophet,2.34,1.45,inf,1.22
0,C2009 AS27138_SARIMA,2.95,2.53,inf,1.69
1,C2009 AS27138_Holt-Winters 3,3.27,2.59,inf,1.73
2,C2009 AS27138_FB Prophet,3.52,3.17,inf,2.12
0,C2009 AS17005_SARIMA,32.33,10.83,inf,57.74
1,C2009 AS17005_Holt-Winters 3,32.29,10.85,inf,57.86
2,C2009 AS17005_FB Prophet,32.46,11.24,inf,59.92
0,C2010 AS27000_SARIMA,4.32,3.75,13.85,1.0
0,C2010 AS27132_SARIMA,4.28,3.4,inf,1.65
1,C2010 AS27132_Holt-Winters 3,158.02,68.35,inf,33.14
2,C2010 AS27132_FB Prophet,13.71,12.24,inf,5.93
0,C2010 AS27133_SARIMA,22.81,19.93,57.46,1.81
0,C2010 AS27134_SARIMA,11.46,8.53,inf,3.64
1,C2010 AS27134_Holt-Winters 3,20.05,18.83,inf,8.03
2,C2010 AS27134_FB Prophet,30.54,29.39,inf,12.54
0,C2010 AS27137_SARIMA,2.93,2.5,16.19,0.95
0,C2010 AS27138_SARIMA,3.65,3.16,15.71,1.45
0,C2010 AS17005_SARIMA,3.01,1.19,inf,inf
1,C2010 AS17005_Holt-Winters 3,4.18,2.09,inf,inf
0,C2010 AS46000_SARIMA,34.3,29.94,inf,1.13
1,C2010 AS46000_Holt-Winters 3,50.21,36.99,inf,1.39
2,C2010 AS46000_FB Prophet,127.16,92.33,inf,3.48
0,C2011 AS27000_SARIMA,130.57,98.11,inf,1.5
1,C2011 AS27000_Holt-Winters 3,102.17,73.79,inf,1.13
2,C2011 AS27000_FB Prophet,199.59,161.38,inf,2.47
1,C2011 AS27132_Holt-Winters 3,0.01,0.01,inf,0.0
2,C2011 AS27132_FB Prophet,81.07,61.48,inf,2.4
0,C2011 AS27133_SARIMA,72.35,61.38,157.1,3.02
0,C2011 AS27134_SARIMA,15.11,13.03,inf,0.33
1,C2011 AS27134_Holt-Winters 3,7.86,5.83,inf,0.15
2,C2011 AS27134_FB Prophet,56.16,46.87,inf,1.2
0,C2011 AS27137_SARIMA,53.28,35.1,inf,3.57
1,C2011 AS27137_Holt-Winters 3,55.8,28.59,inf,2.9
2,C2011 AS27137_FB Prophet,49.95,28.97,inf,2.94
0,C2011 AS27138_SARIMA,97.01,80.22,inf,5.03
1,C2011 AS27138_Holt-Winters 3,197.64,105.04,inf,6.59
2,C2011 AS27138_FB Prophet,110.86,79.91,inf,5.01
0,C2011 AS27139_SARIMA,0.51,0.42,inf,0.36
1,C2011 AS27139_Holt-Winters 3,0.01,0.01,inf,0.01
2,C2011 AS27139_FB Prophet,2.28,1.85,inf,1.55
0,C2011 AS42018_SARIMA,10.69,4.74,inf,8.43
1,C2011 AS42018_Holt-Winters 3,10.68,4.56,inf,8.11
2,C2011 AS42018_FB Prophet,10.94,4.94,inf,8.79
0,C2011 AS17005_SARIMA,1.41,1.11,inf,0.27
1,C2011 AS17005_Holt-Winters 3,0.05,0.05,inf,0.01
2,C2011 AS17005_FB Prophet,9.29,7.63,inf,1.85
0,C2011 AS46000_SARIMA,18.99,14.76,inf,0.63
1,C2011 AS46000_Holt-Winters 3,13.6,12.39,inf,0.53
2,C2011 AS46000_FB Prophet,39.68,31.82,inf,1.35
0,C2015 AS27000_SARIMA,5.73,4.66,inf,0.86
1,C2015 AS27000_Holt-Winters 3,3.3,2.87,inf,0.53
2,C2015 AS27000_FB Prophet,9.71,7.54,inf,1.39
0,C2015 AS27132_SARIMA,0.3,0.26,inf,0.6
1,C2015 AS27132_Holt-Winters 3,0.17,0.16,inf,0.35
2,C2015 AS27132_FB Prophet,0.56,0.44,inf,1.0
0,C2015 AS27133_SARIMA,7.0,5.82,inf,0.59
1,C2015 AS27133_Holt-Winters 3,7.95,6.56,inf,0.66
2,C2015 AS27133_FB Prophet,11.96,10.0,inf,1.01
0,C2015 AS27134_SARIMA,6.13,5.42,inf,1.67
1,C2015 AS27134_Holt-Winters 3,5.28,4.7,inf,1.45
2,C2015 AS27134_FB Prophet,11.7,8.84,inf,2.72
0,C2015 AS27137_SARIMA,3.92,3.27,42.92,0.5
0,C2015 AS27138_SARIMA,3.35,2.3,inf,1.63
1,C2015 AS27138_Holt-Winters 3,4.31,2.51,inf,1.78
2,C2015 AS27138_FB Prophet,4.3,2.55,inf,1.81
0,C2016 AS27000_SARIMA,18.47,14.6,59.65,0.47
1,C2016 AS27132_Holt-Winters 3,0.0,0.0,inf,0.0
2,C2016 AS27132_FB Prophet,17.48,13.75,inf,6.29
0,C2016 AS27133_SARIMA,43.79,37.78,inf,1.26
1,C2016 AS27133_Holt-Winters 3,44.81,36.05,inf,1.2
2,C2016 AS27133_FB Prophet,52.98,49.16,inf,1.64
0,C2016 AS27134_SARIMA,7.13,6.01,inf,0.15
1,C2016 AS27134_Holt-Winters 3,4.42,4.06,inf,0.1
2,C2016 AS27134_FB Prophet,33.83,27.67,inf,0.7
0,C2017 AS27000_SARIMA,1.25,1.09,inf,0.69
1,C2017 AS27000_Holt-Winters 3,2.59,2.07,inf,1.32
2,C2017 AS27000_FB Prophet,5.38,4.15,inf,2.65
0,C2017 AS27132_SARIMA,1.87,1.19,inf,9.53
1,C2017 AS27132_Holt-Winters 3,1.95,1.02,inf,8.13
2,C2017 AS27132_FB Prophet,1.91,1.04,inf,8.34
0,C2017 AS27133_SARIMA,14.63,9.35,inf,2.58
1,C2017 AS27133_Holt-Winters 3,20.93,18.83,inf,5.19
2,C2017 AS27133_FB Prophet,16.89,13.55,inf,3.74
0,C2017 AS27138_SARIMA,5.42,4.34,inf,0.79
1,C2017 AS27138_Holt-Winters 3,8.77,7.17,inf,1.3
2,C2017 AS27138_FB Prophet,13.19,10.52,inf,1.91
2,C2017 AS46000_FB Prophet,0.38,0.34,inf,2.17
0,C2041 AS27000_SARIMA,6.57,4.79,55.73,0.63
0,C2041 AS27132_SARIMA,1.11,0.96,inf,0.39
1,C2041 AS27132_Holt-Winters 3,0.63,0.48,inf,0.2
2,C2041 AS27132_FB Prophet,3.82,3.53,inf,1.45
0,C2041 AS27133_SARIMA,20.86,19.23,48.67,1.42
1,C2041 AS27137_Holt-Winters 3,5.31,4.76,37.64,0.55
0,C2047 AS27000_SARIMA,5.5,4.34,127.69,1.04
0,C2047 AS27133_SARIMA,18.38,15.42,67.79,1.7
0,C2047 AS27134_SARIMA,5.63,3.84,inf,0.28
1,C2047 AS27134_Holt-Winters 3,2.99,1.22,inf,0.09
2,C2047 AS27134_FB Prophet,21.93,18.75,inf,1.39
0,C2047 AS27137_SARIMA,4.15,3.2,inf,0.76
1,C2047 AS27137_Holt-Winters 3,2.57,2.29,inf,0.54
2,C2047 AS27137_FB Prophet,9.09,7.51,inf,1.78
0,C2047 AS27138_SARIMA,4.05,3.5,109.31,1.15
0,C2047 AS27139_SARIMA,1.87,1.36,inf,0.82
1,C2047 AS27139_Holt-Winters 3,0.04,0.03,inf,0.02
2,C2047 AS27139_FB Prophet,3.23,2.99,inf,1.81
0,C2049 AS27000_SARIMA,6.58,5.35,28.13,0.77
0,C2049 AS27132_SARIMA,0.24,0.2,inf,0.46
1,C2049 AS27132_Holt-Winters 3,0.0,0.0,inf,0.01
2,C2049 AS27132_FB Prophet,0.55,0.37,inf,0.84
0,C2049 AS27133_SARIMA,36.51,29.36,inf,1.49
1,C2049 AS27133_Holt-Winters 3,98.36,69.59,inf,3.52
2,C2049 AS27133_FB Prophet,42.31,33.12,inf,1.68
0,C2049 AS27134_SARIMA,3.92,2.93,inf,0.45
1,C2049 AS27134_Holt-Winters 3,1.44,0.71,inf,0.11
2,C2049 AS27134_FB Prophet,7.66,6.1,inf,0.95
0,C2049 AS27137_SARIMA,2.65,1.96,inf,0.44
1,C2049 AS27137_Holt-Winters 3,3.68,2.37,inf,0.53
2,C2049 AS27137_FB Prophet,9.47,6.75,inf,1.5
0,C2049 AS27138_SARIMA,6.93,5.88,inf,0.77
1,C2049 AS27138_Holt-Winters 3,8.61,5.55,inf,0.73
2,C2049 AS27138_FB Prophet,22.87,17.64,inf,2.31
1,C2049 AS27139_Holt-Winters 3,0.0,0.0,inf,0.0
2,C2049 AS27139_FB Prophet,6.25,5.29,inf,8.46
0,C2049 AS46000_SARIMA,18.83,9.01,inf,0.92
1,C2049 AS46000_Holt-Winters 3,19.0,6.35,inf,0.65
2,C2049 AS46000_FB Prophet,24.4,17.37,inf,1.77
0,C2050 AS27000_SARIMA,7.91,6.07,inf,0.55
1,C2050 AS27000_Holt-Winters 3,3.73,3.12,inf,0.28
2,C2050 AS27000_FB Prophet,18.01,11.69,inf,1.06
0,C2050 AS27132_SARIMA,5.62,4.06,inf,0.41
1,C2050 AS27132_Holt-Winters 3,1.65,0.92,inf,0.09
2,C2050 AS27132_FB Prophet,19.14,13.65,inf,1.39
0,C2050 AS27133_SARIMA,8.21,5.34,inf,6.83
1,C2050 AS27133_Holt-Winters 3,8.54,3.79,inf,4.85
2,C2050 AS27133_FB Prophet,8.78,5.93,inf,7.59
0,C2050 AS27134_SARIMA,4.75,4.01,inf,0.41
1,C2050 AS27134_Holt-Winters 3,4.54,3.41,inf,0.35
2,C2050 AS27134_FB Prophet,6.77,6.23,inf,0.64
0,C2050 AS27137_SARIMA,0.05,0.04,inf,0.24
1,C2050 AS27137_Holt-Winters 3,0.01,0.01,inf,0.03
2,C2050 AS27137_FB Prophet,0.38,0.3,inf,1.6
0,C2050 AS27138_SARIMA,1.71,1.02,inf,0.74
1,C2050 AS27138_Holt-Winters 3,2.5,1.77,inf,1.29
2,C2050 AS27138_FB Prophet,3.07,2.24,inf,1.63
0,C2050 AS46000_SARIMA,48.06,17.12,inf,inf
1,C2050 AS46000_Holt-Winters 3,47.96,16.09,inf,inf
0,C2051 AS27000_SARIMA,28.26,19.08,inf,1.62
1,C2051 AS27000_Holt-Winters 3,33.27,21.7,inf,1.84
2,C2051 AS27000_FB Prophet,31.66,22.07,inf,1.87
0,C2051 AS27132_SARIMA,1.22,1.11,inf,0.08
1,C2051 AS27132_Holt-Winters 3,0.03,0.02,inf,0.0
2,C2051 AS27132_FB Prophet,19.68,14.96,inf,1.1
0,C2051 AS27133_SARIMA,11.76,8.75,inf,0.75
1,C2051 AS27133_Holt-Winters 3,30.05,19.89,inf,1.7
2,C2051 AS27133_FB Prophet,24.04,16.9,inf,1.45
0,C2051 AS27134_SARIMA,8.81,5.12,inf,0.55
1,C2051 AS27134_Holt-Winters 3,1.69,0.8,inf,0.09
2,C2051 AS27134_FB Prophet,18.56,13.18,inf,1.41
0,C2051 AS27137_SARIMA,2.74,2.12,inf,1.48
1,C2051 AS27137_Holt-Winters 3,2.65,1.24,inf,0.86
2,C2051 AS27137_FB Prophet,4.55,2.74,inf,1.91
0,C2051 AS27138_SARIMA,2.65,1.82,inf,2.64
1,C2051 AS27138_Holt-Winters 3,2.42,1.28,inf,1.86
2,C2051 AS27138_FB Prophet,2.74,1.78,inf,2.59
0,C2051 AS17005_SARIMA,0.71,0.44,inf,1.39
2,C2051 AS17005_FB Prophet,1.9,1.13,inf,3.6
0,C2052 AS27000_SARIMA,7.19,5.8,inf,0.96
1,C2052 AS27000_Holt-Winters 3,4.45,2.23,inf,0.37
2,C2052 AS27000_FB Prophet,10.75,9.73,inf,1.6
0,C2052 AS27132_SARIMA,2.33,2.06,inf,0.46
1,C2052 AS27132_Holt-Winters 3,0.01,0.01,inf,0.0
2,C2052 AS27132_FB Prophet,11.31,10.1,inf,2.24
0,C2052 AS27133_SARIMA,11.37,8.72,inf,1.03
1,C2052 AS27133_Holt-Winters 3,14.18,8.47,inf,1.0
2,C2052 AS27133_FB Prophet,17.61,13.54,inf,1.61
0,C2052 AS27134_SARIMA,12.79,8.43,inf,0.63
1,C2052 AS27134_Holt-Winters 3,0.14,0.13,inf,0.01
2,C2052 AS27134_FB Prophet,32.34,25.15,inf,1.87
1,C2053 AS27000_Holt-Winters 3,11.34,8.13,55.86,0.53
0,C2053 AS27132_SARIMA,19.76,18.21,inf,1.02
1,C2053 AS27132_Holt-Winters 3,15.5,9.96,inf,0.56
2,C2053 AS27132_FB Prophet,61.45,48.37,inf,2.72
0,C2053 AS27133_SARIMA,23.02,19.61,172.94,0.63
0,C2053 AS27134_SARIMA,47.31,36.87,inf,1.06
1,C2053 AS27134_Holt-Winters 3,34.71,21.54,inf,0.62
2,C2053 AS27134_FB Prophet,69.15,59.65,inf,1.72
0,C2053 AS27137_SARIMA,2.66,2.09,inf,1.0
1,C2053 AS27137_Holt-Winters 3,4.28,3.32,inf,1.58
2,C2053 AS27137_FB Prophet,7.03,4.84,inf,2.31
0,C2053 AS27138_SARIMA,1.4,1.08,inf,2.16
1,C2053 AS27138_Holt-Winters 3,1.33,0.9,inf,1.8
2,C2053 AS27138_FB Prophet,2.43,1.6,inf,3.2
0,C2055 AS27000_SARIMA,8.83,7.17,inf,0.62
1,C2055 AS27000_Holt-Winters 3,4.01,2.95,inf,0.26
2,C2055 AS27000_FB Prophet,17.86,13.37,inf,1.16
0,C2055 AS27132_SARIMA,3.65,3.04,inf,0.59
1,C2055 AS27132_Holt-Winters 3,1.86,1.11,inf,0.22
2,C2055 AS27132_FB Prophet,6.57,5.4,inf,1.05
0,C2055 AS27133_SARIMA,16.73,13.93,inf,1.69
1,C2055 AS27133_Holt-Winters 3,22.0,18.09,inf,2.2
2,C2055 AS27133_FB Prophet,23.63,19.68,inf,2.39
0,C2055 AS27134_SARIMA,43.6,18.28,inf,4.12
1,C2055 AS27134_Holt-Winters 3,42.88,15.38,inf,3.47
2,C2055 AS27134_FB Prophet,43.48,18.62,inf,4.2
0,C2055 AS27137_SARIMA,3.18,2.5,inf,1.18
1,C2055 AS27137_Holt-Winters 3,2.61,1.63,inf,0.77
2,C2055 AS27137_FB Prophet,7.17,6.14,inf,2.89
0,C2055 AS27138_SARIMA,7.84,6.23,55.15,6.23
0,C2055 AS27139_SARIMA,0.0,0.0,inf,0.0
1,C2055 AS27139_Holt-Winters 3,0.01,0.01,inf,0.01
2,C2055 AS27139_FB Prophet,4.45,2.59,inf,2.07
