,label,RMSE,MAE,MAPE,MASE
0,C1017 AS27137_SARIMA,2.58,2.05,inf,13.14
2,C1017 AS27137_FB Prophet,4.1,3.07,inf,19.63
0,C1017 AS27138_SARIMA,3.58,2.72,inf,10.89
2,C1017 AS27138_FB Prophet,6.09,4.91,inf,19.65
0,C1018 AS27000_SARIMA,35.22,25.33,417.11,2.22
0,C1018 AS27132_SARIMA,21.56,11.91,inf,4.06
1,C1018 AS27132_Holt-Winters 3,18.86,9.37,inf,3.19
2,C1018 AS27132_FB Prophet,22.1,12.43,inf,4.23
1,C1018 AS27133_Holt-Winters 3,42.21,32.37,31.47,1.84
1,C1018 AS27134_Holt-Winters 3,29.72,20.49,74.55,1.3
0,C1018 AS27137_SARIMA,4.51,3.82,inf,0.6
1,C1018 AS27137_Holt-Winters 3,4.0,3.23,inf,0.51
2,C1018 AS27137_FB Prophet,27.57,22.58,inf,3.54
0,C1018 AS27138_SARIMA,13.55,10.15,30.09,2.93
0,C1018 AS27139_SARIMA,1.14,0.67,inf,0.21
1,C1018 AS27139_Holt-Winters 3,1.69,0.58,inf,0.18
2,C1018 AS27139_FB Prophet,10.79,9.62,inf,3.05
0,C1018 AS42018_SARIMA,0.79,0.56,inf,0.89
1,C1018 AS42018_Holt-Winters 3,0.59,0.47,inf,0.76
2,C1018 AS42018_FB Prophet,1.03,0.92,inf,1.48
0,C1018 AS17005_SARIMA,0.27,0.24,inf,0.77
1,C1018 AS17005_Holt-Winters 3,0.33,0.28,inf,0.88
2,C1018 AS17005_FB Prophet,0.34,0.27,inf,0.85
0,C1018 AS46000_SARIMA,23.07,20.7,inf,2.26
1,C1018 AS46000_Holt-Winters 3,13.58,8.98,inf,0.98
2,C1018 AS46000_FB Prophet,29.51,25.24,inf,2.76
0,C1024 AS27000_SARIMA,79.94,72.64,34.17,5.09
0,C1024 AS27132_SARIMA,5.0,1.67,inf,0.92
2,C1024 AS27132_FB Prophet,10.86,7.79,inf,4.3
0,C1024 AS27133_SARIMA,51.59,44.96,inf,5.23
