,label,RMSE,MAE,MASE
0,C1004 X AS27000_SARIMA,15.13,10.95,0.96
1,C1004 X AS27132_Holt-Winters 3,2.97,1.74,0.99
0,C1004 X AS27133_SARIMA,27.77,22.55,2.4
1,C1004 X AS27134_Holt-Winters 3,19.88,7.08,0.26
0,C1004 X AS27137_SARIMA,8.63,7.52,2.7
0,C1004 X AS27138_SARIMA,10.55,8.54,3.22
0,C1007 X AS27000_SARIMA,65.28,45.84,0.66
0,C1007 X AS27132_SARIMA,20.13,17.46,0.92
0,C1007 X AS27133_SARIMA,7.6,6.57,0.29
1,C1007 X AS27134_Holt-Winters 3,7.07,5.85,0.12
0,C1007 X AS27137_SARIMA,15.81,9.79,0.68
0,C1007 X AS27138_SARIMA,9.17,7.9,1.81
0,C1007 X AS42018_SARIMA,6.69,4.81,inf
1,C1007 X AS42018_Holt-Winters 3,33.62,28.89,inf
2,C1007 X AS42018_FB Prophet,28.28,18.89,inf
0,C1008 X AS27000_SARIMA,21.43,11.44,0.66
0,C1008 X AS27132_SARIMA,0.0,0.0,0.0
0,C1008 X AS27133_SARIMA,28.69,21.1,1.22
1,C1008 X AS27134_Holt-Winters 3,7.64,5.65,0.46
0,C1008 X AS27137_SARIMA,4.47,4.02,0.64
2,C1008 X AS27138_FB Prophet,7.51,6.61,0.95
2,C1009 X AS27000_FB Prophet,9.09,6.23,0.46
0,C1009 X AS27133_SARIMA,31.77,28.1,1.72
0,C1009 X AS27137_SARIMA,3.97,2.85,4.55
0,C1009 X AS27138_SARIMA,3.81,3.28,3.5
0,C1010 X AS27000_SARIMA,7.7,6.08,0.73
1,C1010 X AS27132_Holt-Winters 3,3.41,2.99,1.11
0,C1010 X AS27133_SARIMA,25.28,20.0,1.47
1,C1010 X AS27134_Holt-Winters 3,4.87,4.0,0.32
0,C1010 X AS27137_SARIMA,2.63,2.15,0.92
0,C1010 X AS27138_SARIMA,4.89,3.71,14.84
0,C1011 X AS21126_SARIMA,0.33,0.11,inf
1,C1011 X AS21126_Holt-Winters 3,3.02,1.11,inf
2,C1011 X AS21126_FB Prophet,3.02,1.11,inf
0,C1011 X AS27000_SARIMA,5.4,4.15,0.78
1,C1011 X AS27132_Holt-Winters 3,2.67,2.29,0.55
0,C1011 X AS27133_SARIMA,26.34,20.55,3.94
0,C1011 X AS27134_SARIMA,8.61,6.3,1.02
0,C1011 X AS27137_SARIMA,1.92,1.52,1.43
0,C1011 X AS27138_SARIMA,12.75,10.76,1.51
1,C1011 X AS46000_Holt-Winters 3,0.11,0.1,0.04
0,C1014 X AS17005_SARIMA,0.32,0.16,inf
1,C1014 X AS17005_Holt-Winters 3,0.33,0.11,inf
2,C1014 X AS17005_FB Prophet,0.33,0.11,inf
1,C1014 X AS27000_Holt-Winters 3,2.2,1.26,4.02
0,C1014 X AS27132_SARIMA,0.05,0.04,1.14
0,C1014 X AS27133_SARIMA,7.19,5.65,18.07
1,C1014 X AS27134_Holt-Winters 3,0.0,0.0,0.0
0,C1014 X AS27137_SARIMA,1.66,1.22,inf
1,C1014 X AS27137_Holt-Winters 3,2.19,1.68,inf
2,C1014 X AS27137_FB Prophet,2.19,1.67,inf
0,C1014 X AS27138_SARIMA,3.2,2.77,9.85
0,C1014 X AS46000_SARIMA,48.09,18.4,inf
1,C1014 X AS46000_Holt-Winters 3,47.96,16.09,inf
2,C1014 X AS46000_FB Prophet,48.0,16.0,inf
1,C1015 X AS17005_Holt-Winters 3,0.04,0.03,0.02
0,C1015 X AS27000_SARIMA,18.37,14.95,1.09
1,C1015 X AS27132_Holt-Winters 3,2.21,1.61,0.18
0,C1015 X AS27133_SARIMA,7.62,6.14,1.34
0,C1015 X AS27134_SARIMA,16.42,12.03,1.14
1,C1015 X AS27137_Holt-Winters 3,4.38,2.7,0.98
1,C1015 X AS27138_Holt-Winters 3,0.91,0.64,0.28
0,C1015 X AS27139_SARIMA,0.0,0.0,0.0
1,C1015 X AS46000_Holt-Winters 3,34.16,25.7,1.01
0,C1017 X AS27133_SARIMA,14.44,9.41,inf
1,C1017 X AS27133_Holt-Winters 3,18.34,12.0,inf
2,C1017 X AS27133_FB Prophet,18.34,12.0,inf
1,C1017 X AS27134_Holt-Winters 3,0.0,0.0,0.0
0,C1017 X AS27137_SARIMA,2.58,2.05,13.14
0,C1017 X AS27138_SARIMA,3.58,2.72,10.89
1,C1018 X AS17005_Holt-Winters 3,0.33,0.13,0.41
0,C1018 X AS27000_SARIMA,35.22,25.33,2.22
0,C1018 X AS27132_SARIMA,21.56,11.91,4.06
0,C1018 X AS27133_SARIMA,47.61,42.46,2.41
1,C1018 X AS27134_Holt-Winters 3,33.27,24.1,1.52
0,C1018 X AS27137_SARIMA,4.51,3.82,0.6
0,C1018 X AS27138_SARIMA,13.55,10.15,2.93
0,C1018 X AS27139_SARIMA,1.14,0.67,0.21
1,C1018 X AS27139_Holt-Winters 3,1.69,0.65,0.21
0,C1018 X AS42018_SARIMA,0.79,0.56,0.89
1,C1018 X AS46000_Holt-Winters 3,14.98,9.4,1.03
1,C1024 X AS17005_Holt-Winters 3,2.26,0.84,1.22
0,C1024 X AS27000_SARIMA,79.94,72.64,5.09
0,C1024 X AS27132_SARIMA,5.0,1.67,0.92
0,C1024 X AS27133_SARIMA,51.59,44.96,5.23
0,C1024 X AS27134_SARIMA,66.98,53.83,1.22
0,C1024 X AS27137_SARIMA,8.11,6.56,2.33
0,C1024 X AS27138_SARIMA,10.78,9.2,7.55
0,C1024 X AS46000_SARIMA,1.34,0.51,0.08
0,C1026 X AS27000_SARIMA,21.3,16.57,0.65
1,C1026 X AS27132_Holt-Winters 3,6.63,4.16,0.44
0,C1026 X AS27133_SARIMA,27.07,19.04,1.19
0,C1026 X AS27134_SARIMA,11.51,8.9,0.7
0,C1026 X AS27137_SARIMA,13.5,11.66,2.63
1,C1026 X AS27138_Holt-Winters 3,38.21,23.34,3.25
0,C1027 X AS27000_SARIMA,22.37,19.59,1.14
1,C1027 X AS27132_Holt-Winters 3,1.02,0.7,0.11
0,C1027 X AS27133_SARIMA,20.02,17.77,0.6
0,C1027 X AS27134_SARIMA,21.56,13.79,0.38
0,C1027 X AS27137_SARIMA,6.08,4.78,1.14
0,C1027 X AS27138_SARIMA,7.33,4.68,1.5
1,C1028 X AS27000_Holt-Winters 3,13.6,11.87,0.58
1,C1028 X AS27132_Holt-Winters 3,0.8,0.5,0.29
0,C1028 X AS27133_SARIMA,25.46,22.45,1.3
0,C1028 X AS27134_SARIMA,8.0,6.71,0.5
0,C1028 X AS27137_SARIMA,1.62,1.27,0.57
0,C1028 X AS27138_SARIMA,2.57,1.91,8.74
0,C1028 X AS27139_SARIMA,0.12,0.06,0.06
1,C1029 X AS27000_Holt-Winters 3,8.3,7.09,0.57
1,C1029 X AS27132_Holt-Winters 3,1.35,0.92,0.35
0,C1029 X AS27133_SARIMA,29.98,26.44,1.0
1,C1029 X AS27134_Holt-Winters 3,28.45,22.52,0.51
0,C1029 X AS27137_SARIMA,4.24,3.04,0.95
0,C1029 X AS27138_SARIMA,3.74,2.54,0.82
0,C1029 X AS27139_SARIMA,0.0,0.0,0.0
1,C1029 X AS46000_Holt-Winters 3,13.05,4.79,0.33
0,C1030 X AS27000_SARIMA,41.72,33.42,0.66
0,C1030 X AS27132_SARIMA,5.83,5.18,0.42
0,C1030 X AS27133_SARIMA,13.46,12.51,0.63
0,C1030 X AS27134_SARIMA,2.24,1.8,0.45
1,C1030 X AS27137_Holt-Winters 3,4.5,2.76,0.4
0,C1030 X AS27138_SARIMA,10.01,6.73,inf
1,C1030 X AS27138_Holt-Winters 3,10.47,8.0,inf
2,C1030 X AS27138_FB Prophet,12.76,8.89,inf
0,C1030 X AS42018_SARIMA,0.03,0.03,0.09
0,C1034 X AS27000_SARIMA,10.73,9.98,1.97
0,C1034 X AS27132_SARIMA,3.2,2.56,0.38
1,C1034 X AS27133_Holt-Winters 3,28.08,21.82,11.45
0,C1034 X AS27134_SARIMA,20.71,15.98,2.13
0,C1035 X AS27000_SARIMA,7.93,7.43,1.34
1,C1035 X AS27132_Holt-Winters 3,0.65,0.52,0.15
1,C1035 X AS27133_Holt-Winters 3,37.32,22.54,1.71
1,C1035 X AS27134_Holt-Winters 3,2.21,1.36,0.07
1,C1035 X AS27137_Holt-Winters 3,3.47,1.51,1.31
0,C1035 X AS27138_SARIMA,2.34,1.65,3.78
1,C1035 X AS46000_Holt-Winters 3,15.52,10.65,1.54
0,C1051 X AS27000_SARIMA,24.9,23.17,1.42
0,C1051 X AS27132_SARIMA,1.67,0.59,inf
1,C1051 X AS27132_Holt-Winters 3,1.67,0.56,inf
2,C1051 X AS27132_FB Prophet,1.67,0.56,inf
0,C1051 X AS27133_SARIMA,18.34,13.28,3.48
0,C1051 X AS27134_SARIMA,21.84,17.63,2.55
0,C1051 X AS27137_SARIMA,3.63,2.39,inf
1,C1051 X AS27137_Holt-Winters 3,3.72,2.14,inf
2,C1051 X AS27137_FB Prophet,3.82,2.11,inf
0,C1051 X AS27138_SARIMA,1.59,1.02,inf
1,C1051 X AS27138_Holt-Winters 3,6.0,5.36,inf
2,C1051 X AS27138_FB Prophet,4.42,2.67,inf
0,C1054 X AS27000_SARIMA,39.02,31.22,0.62
1,C1054 X AS27132_Holt-Winters 3,9.58,8.25,0.4
0,C1054 X AS27133_SARIMA,30.19,25.15,1.76
1,C1054 X AS27134_Holt-Winters 3,11.84,4.27,0.23
0,C1054 X AS27137_SARIMA,24.89,18.9,1.92
0,C1054 X AS27138_SARIMA,26.68,22.67,1.42
0,C1055 X AS27000_SARIMA,9.48,7.38,0.72
1,C1055 X AS27132_Holt-Winters 3,4.6,2.51,0.82
1,C1055 X AS27133_Holt-Winters 3,22.71,16.88,1.8
0,C1055 X AS27134_SARIMA,22.82,17.52,1.27
1,C1055 X AS27137_Holt-Winters 3,0.09,0.05,0.04
2,C1055 X AS27138_FB Prophet,3.38,2.18,1.34
0,C1056 X AS27000_SARIMA,5.05,4.55,1.1
1,C1056 X AS27132_Holt-Winters 3,2.8,1.81,0.6
1,C1056 X AS27133_Holt-Winters 3,404.8,238.02,12.25
1,C1056 X AS27134_Holt-Winters 3,18.3,9.56,2.28
1,C1056 X AS27137_Holt-Winters 3,1.07,0.54,1.43
0,C1056 X AS27138_SARIMA,1.32,0.94,0.89
1,C1058 X AS27000_Holt-Winters 3,0.04,0.04,0.0
1,C1058 X AS27137_Holt-Winters 3,0.5,0.27,0.01
0,C1059 X AS27000_SARIMA,51.25,40.12,2.14
1,C1059 X AS27132_Holt-Winters 3,9.4,6.04,2.36
0,C1059 X AS27133_SARIMA,34.51,29.74,2.63
0,C1059 X AS27134_SARIMA,8.15,5.92,0.88
0,C1059 X AS27137_SARIMA,4.1,3.07,1.76
0,C1059 X AS27138_SARIMA,10.14,8.45,3.51
0,C1061 X AS27000_SARIMA,50.49,41.4,0.62
1,C1061 X AS27132_Holt-Winters 3,5.1,3.43,0.3
2,C1061 X AS27133_FB Prophet,75.06,58.66,1.39
1,C1061 X AS27134_Holt-Winters 3,9.4,7.9,0.51
0,C1061 X AS27137_SARIMA,5.69,4.71,2.51
2,C1061 X AS27138_FB Prophet,4.66,3.78,1.14
0,C1062 X AS27000_SARIMA,124.77,94.18,1.19
1,C1062 X AS27132_Holt-Winters 3,51.39,23.93,2.5
0,C1062 X AS27133_SARIMA,29.68,25.05,0.63
1,C1062 X AS27134_Holt-Winters 3,66.95,23.8,0.29
0,C1062 X AS27137_SARIMA,23.59,21.21,1.92
0,C1062 X AS27138_SARIMA,28.72,23.73,1.62
0,C1062 X AS27139_SARIMA,0.0,0.0,0.0
1,C1062 X AS27139_Holt-Winters 3,0.0,0.0,0.0
0,C1063 X AS27000_SARIMA,2.31,0.96,inf
1,C1063 X AS27000_Holt-Winters 3,2.57,1.32,inf
2,C1063 X AS27000_FB Prophet,2.56,1.22,inf
0,C1063 X AS27132_SARIMA,1.0,0.33,inf
1,C1063 X AS27132_Holt-Winters 3,1.67,0.78,inf
2,C1063 X AS27132_FB Prophet,1.67,0.78,inf
0,C1063 X AS27133_SARIMA,11.89,6.8,inf
1,C1063 X AS27133_Holt-Winters 3,21.79,11.67,inf
2,C1063 X AS27133_FB Prophet,21.79,11.67,inf
0,C1063 X AS27134_SARIMA,3.33,1.11,inf
1,C1063 X AS27134_Holt-Winters 3,4.71,2.22,inf
2,C1063 X AS27134_FB Prophet,4.71,2.22,inf
0,C1063 X AS27137_SARIMA,3.34,1.22,inf
1,C1063 X AS27137_Holt-Winters 3,3.33,1.11,inf
2,C1063 X AS27137_FB Prophet,3.33,1.11,inf
0,C1063 X AS27138_SARIMA,1.43,0.89,inf
1,C1063 X AS27138_Holt-Winters 3,1.65,0.69,inf
2,C1063 X AS27138_FB Prophet,1.7,0.67,inf
1,C1066 X AS27000_Holt-Winters 3,44.2,38.3,0.42
1,C1066 X AS27132_Holt-Winters 3,8.67,4.93,2.39
1,C1066 X AS27133_Holt-Winters 3,22.04,15.14,0.55
1,C1066 X AS27134_Holt-Winters 3,16.12,11.98,0.34
1,C1066 X AS27138_Holt-Winters 3,11.94,6.28,1.61
0,C1067 X AS27000_SARIMA,12.2,7.62,2.22
1,C1067 X AS27132_Holt-Winters 3,2.35,1.19,0.95
0,C1067 X AS27133_SARIMA,4.75,3.56,inf
1,C1067 X AS27133_Holt-Winters 3,5.74,4.02,inf
2,C1067 X AS27133_FB Prophet,5.85,4.22,inf
1,C1067 X AS27134_Holt-Winters 3,1.12,0.67,0.11
0,C1067 X AS27137_SARIMA,2.55,2.27,12.12
1,C1069 X AS27000_Holt-Winters 3,50.6,37.58,0.67
1,C1069 X AS27132_Holt-Winters 3,2.49,1.7,0.71
0,C1069 X AS27133_SARIMA,17.52,14.92,0.87
1,C1069 X AS27134_Holt-Winters 3,1.27,1.0,0.4
0,C1069 X AS27137_SARIMA,6.61,4.75,0.56
0,C1069 X AS27138_SARIMA,4.76,3.87,1.63
0,C1069 X AS42018_SARIMA,1.46,0.85,1.01
0,C1070 X AS27000_SARIMA,5.23,3.86,1.61
1,C1070 X AS27132_Holt-Winters 3,2.52,1.72,0.45
0,C1070 X AS27134_SARIMA,21.32,20.26,1.42
1,C1072 X AS27000_Holt-Winters 3,3.88,2.17,0.24
1,C1072 X AS27132_Holt-Winters 3,3.3,1.14,3.66
2,C1072 X AS27133_FB Prophet,14.62,9.62,1.09
1,C1072 X AS27134_Holt-Winters 3,3.75,1.67,0.22
0,C1072 X AS27137_SARIMA,2.86,1.84,2.1
0,C1072 X AS27138_SARIMA,2.88,2.19,1.59
1,C1073 X AS27000_Holt-Winters 3,15.88,13.24,0.4
1,C1073 X AS27132_Holt-Winters 3,1.23,0.98,0.46
0,C1073 X AS27133_SARIMA,32.44,27.53,1.34
0,C1073 X AS27134_SARIMA,29.34,22.5,0.95
0,C1073 X AS27137_SARIMA,10.73,8.48,1.55
0,C1073 X AS27138_SARIMA,8.59,7.33,0.68
1,C1074 X AS27000_Holt-Winters 3,23.39,17.97,0.91
1,C1074 X AS27132_Holt-Winters 3,0.75,0.58,0.3
1,C1074 X AS27133_Holt-Winters 3,4.74,3.55,0.62
1,C1074 X AS27134_Holt-Winters 3,10.7,9.33,0.77
1,C1074 X AS27137_Holt-Winters 3,10.81,8.7,1.54
0,C1074 X AS27138_SARIMA,7.94,6.22,1.75
1,C1077 X AS17005_Holt-Winters 3,0.06,0.06,0.1
0,C1077 X AS21126_SARIMA,2.12,1.24,inf
1,C1077 X AS21126_Holt-Winters 3,5.24,3.0,inf
2,C1077 X AS21126_FB Prophet,5.24,3.0,inf
0,C1077 X AS27000_SARIMA,37.49,29.15,0.48
0,C1077 X AS27132_SARIMA,31.17,25.11,1.32
1,C1077 X AS27133_Holt-Winters 3,13.07,8.76,0.98
0,C1077 X AS27134_SARIMA,9.41,5.99,0.58
0,C1077 X AS27137_SARIMA,9.65,7.77,1.74
0,C1077 X AS27138_SARIMA,7.71,5.42,1.41
1,C1077 X AS46000_Holt-Winters 3,9.98,3.38,0.53
0,C1078 X AS27000_SARIMA,33.67,25.5,0.38
0,C1078 X AS27132_SARIMA,6.56,5.88,0.42
0,C1078 X AS27133_SARIMA,29.58,26.55,1.26
0,C1078 X AS27134_SARIMA,15.2,10.86,0.23
0,C1078 X AS27137_SARIMA,3.42,2.3,0.64
0,C1078 X AS27138_SARIMA,6.13,4.92,3.15
1,C1078 X AS42018_Holt-Winters 3,0.01,0.0,0.01
1,C1082 X AS27000_Holt-Winters 3,9.04,7.6,0.68
1,C1082 X AS27132_Holt-Winters 3,2.39,1.93,0.51
0,C1082 X AS27133_SARIMA,17.71,14.49,0.75
0,C1082 X AS27134_SARIMA,14.63,11.67,0.44
0,C1082 X AS27137_SARIMA,1.94,1.71,0.9
0,C1082 X AS27138_SARIMA,2.47,2.06,3.13
0,C1083 X AS27000_SARIMA,2.4,1.35,10.8
0,C1083 X AS27133_SARIMA,29.87,25.65,1.25
0,C1083 X AS27138_SARIMA,2.0,0.67,inf
1,C1083 X AS27138_Holt-Winters 3,2.58,1.24,inf
2,C1083 X AS27138_FB Prophet,2.6,1.22,inf
0,C1083 X AS46000_SARIMA,29.41,23.68,0.72
1,C1084 X AS17005_Holt-Winters 3,0.13,0.07,0.04
0,C1084 X AS27000_SARIMA,32.24,28.82,1.59
1,C1084 X AS27132_Holt-Winters 3,7.45,3.34,0.36
0,C1084 X AS27133_SARIMA,34.6,28.02,1.48
1,C1084 X AS27134_Holt-Winters 3,35.7,20.02,0.83
0,C1084 X AS27137_SARIMA,12.23,9.19,1.28
0,C1084 X AS27138_SARIMA,19.2,15.97,2.09
2,C1084 X AS27138_FB Prophet,19.85,15.92,2.09
0,C1086 X AS27000_SARIMA,57.25,51.63,1.02
2,C1086 X AS27132_FB Prophet,29.06,23.86,1.72
0,C1086 X AS27133_SARIMA,52.65,42.15,0.84
0,C1086 X AS27134_SARIMA,68.08,57.98,0.89
2,C1086 X AS27137_FB Prophet,15.37,10.2,4.03
0,C1086 X AS27138_SARIMA,7.5,6.42,1.36
1,C1087 X AS17005_Holt-Winters 3,0.02,0.02,0.02
0,C1087 X AS27000_SARIMA,30.78,28.06,0.53
0,C1087 X AS27132_SARIMA,3.5,2.59,1.4
0,C1087 X AS27133_SARIMA,79.29,59.71,2.01
0,C1087 X AS27134_SARIMA,18.74,13.6,0.57
0,C1087 X AS27137_SARIMA,4.82,3.56,1.02
0,C1087 X AS27138_SARIMA,25.9,17.96,11.73
0,C1087 X AS27139_SARIMA,0.0,0.0,0.0
1,C1087 X AS27139_Holt-Winters 3,0.0,0.0,0.0
0,C1087 X AS42018_SARIMA,5.16,3.23,2.88
0,C1087 X AS46000_SARIMA,0.0,0.0,0.0
0,C1088 X AS27000_SARIMA,17.69,14.72,0.44
1,C1088 X AS27132_Holt-Winters 3,11.02,9.53,0.29
0,C1088 X AS27133_SARIMA,145.26,124.81,1.07
1,C1088 X AS27134_Holt-Winters 3,57.56,48.32,0.37
2,C1088 X AS27137_FB Prophet,13.55,11.62,0.73
0,C1088 X AS27138_SARIMA,6.93,6.32,0.55
1,C1088 X AS46000_Holt-Winters 3,15.17,7.36,0.09
1,C1089 X AS27000_Holt-Winters 3,4.9,4.03,1.2
1,C1089 X AS27132_Holt-Winters 3,0.73,0.38,0.93
0,C1089 X AS27133_SARIMA,8.52,7.01,0.74
1,C1089 X AS27134_Holt-Winters 3,12.61,10.6,0.89
0,C1089 X AS27138_SARIMA,3.58,3.11,1.95
0,C1089 X AS27139_SARIMA,0.0,0.0,0.0
1,C1089 X AS27139_Holt-Winters 3,0.0,0.0,0.0
0,C1090 X AS27000_SARIMA,33.7,29.44,0.91
1,C1090 X AS27132_Holt-Winters 3,21.07,11.83,1.25
0,C1090 X AS27133_SARIMA,45.22,37.39,1.66
0,C1090 X AS27134_SARIMA,49.0,38.54,1.5
0,C1090 X AS27137_SARIMA,2.42,1.9,0.49
0,C1090 X AS27138_SARIMA,7.07,5.91,2.17
0,C1090 X AS46000_SARIMA,24.77,22.16,0.57
1,C1091 X AS27000_Holt-Winters 3,12.31,8.54,0.94
1,C1091 X AS27132_Holt-Winters 3,0.81,0.62,0.29
0,C1091 X AS27133_SARIMA,34.24,31.04,1.55
0,C1091 X AS27137_SARIMA,15.07,11.05,2.46
0,C1091 X AS27138_SARIMA,5.21,3.54,1.32
1,C1092 X AS27000_Holt-Winters 3,9.43,7.01,0.31
